feature,importance_mean,importance_std
ay_min,-0.001844104034345384,0.0005907221293671339
gx_p90,-0.0019404548684388123,0.0004494124164525651
gy_p10,-0.0025906217738683734,0.0005156796831170032
gx_median,-0.002622210359660637,0.0005128954190161622
gx_iqr,-0.002907745423669628,0.0005783355793525084
curv_ratio,-0.002993067843936492,0.00014257336190292536
jerk_mag_min,-0.003132517020083303,0.0004931771331946981
gx_min,-0.003169371535467902,0.0004594200181902211
gx_spec_centroid,-0.0032873435724619427,0.0005053442626283683
ay_p90,-0.003695298900073962,0.001040978047923587
gy_std,-0.005139808842761462,0.0005084567731268705
gy_p2p,-0.005558663969673217,0.0008882600260371262
gx_power_low,-0.005676449533405426,0.0016459093408616517
gx_mad,-0.0067336262688479035,0.00033890064440211473
gx_max,-0.006803189981707658,0.00141995703756873
gy_iqr,-0.007709711968575461,0.0006111390372327403
alpha_mag_median,-0.011125835538625695,0.0019947606833956764
gx_rms,-0.017005637503999704,0.0016484812378164233
